,split_group,gender,age_group,country_group,os,cnt_users,paid_users,amount_0_1d,amount_1_3d,amount_3_7d,amount_7_14d,amount_14_30d,fact_total_revenue,CR_to_paid,ARPU,ARPPU,LTV
33,0,female,35-45,"UK, GB, CA, NZ, AU",GNU/Linux,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
34,0,female,35-45,"UK, GB, CA, NZ, AU",Mac,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
35,0,female,35-45,"UK, GB, CA, NZ, AU",Other,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
36,0,female,35-45,"UK, GB, CA, NZ, AU",Windows,260,1,0.014461538461538461,0.0,0.0,0.0,0.0,3.76,0.0038461538461538464,0.014461538461538461,3.76,0.0002091360946745562
37,0,female,35-45,"UK, GB, CA, NZ, AU",iOS,867,14,0.21209919261822374,0.01102652825836217,0.000862168396770473,0.0006145987806887461,0.000265282583621684,213.41,0.016147635524798153,0.24614763552479815,15.243571428571428,0.05535067004819432
38,0,female,35-45,"UK, GB, CA, NZ, AU",iPadOS,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
39,0,female,35-45,United States,Android,5064,46,0.03843799368088468,0.0014761058451816748,0.01142821879936809,0.003973707966598961,0.0004804749210110584,620.88,0.009083728278041074,0.12260663507109004,13.497391304347826,0.0068410212624713754
40,0,female,35-45,United States,Chrome OS,44,1,0.06795454545454546,0.0,0.0,0.0,0.0,2.99,0.022727272727272728,0.06795454545454546,2.99,0.004617820247933885
41,0,female,35-45,United States,GNU/Linux,182,1,0.06912087912087912,0.0,0.0,0.0,0.0,12.58,0.005494505494505495,0.06912087912087912,12.58,0.004777695930443184
42,0,female,35-45,United States,Mac,308,1,0.10707792207792206,0.1460551948051948,0.2434577922077922,0.5843645640074211,1.14442775974026,7322.52,0.003246753246753247,23.774415584415586,7322.52,52.907185812094916
43,0,female,35-45,United States,Other,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
44,0,female,35-45,United States,Windows,898,8,0.026636971046770604,0.09346325167037862,0.021701002227171497,0.0,0.0,269.7300000000001,0.008908685968819599,0.3003674832962139,33.71625000000001,0.042592477064845924
45,0,female,35-45,United States,iOS,1922,13,0.09357960457856399,0.04057232049947971,0.0015595733610822072,0.001113423517169615,0.0,362.79,0.006763787721123829,0.18875650364203955,27.90692307692308,0.02582659387956527
46,0,female,35-45,United States,iPadOS,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
47,0,female,45-55,Other,Android,895,8,0.01452513966480447,0.0,0.001670391061452514,0.0004772545889864326,0.0035579608938547487,72.92,0.008938547486033519,0.08147486033519553,9.115,0.0016482972218630596
48,0,female,45-55,Other,GNU/Linux,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
49,0,female,45-55,Other,Mac,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
50,0,female,45-55,Other,Other,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
51,0,female,45-55,Other,Windows,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
